,Unnamed: 0,title,lprice,category1,category2,title_bertWP
1038,1560,유닉스 UN-A1690,25900,디지털/가전,이미용가전,유 ##닉스 U ##N - A1 ##69 ##0
1039,310,세인트제임스 Etudiant IV 0CC ASJU233KR79-0CC,296860,패션의류,남성의류,세인트제임스 E ##t ##ud ##i ##an ##t IV 0CC ASJU ##23 ##3 ##KR ##79 - 0CC
1040,360,남자 핸드 워머 크롭 블루종 울 바시티 자켓,84000,패션의류,남성의류,남자 핸드 워머 크롭 블루종 울 바 ##시 ##티 자켓
1041,762,씨씨콜렉트 핸드메이드 싱글 벨티드 코트 C224MSG554,149700,패션의류,여성의류,씨씨콜렉트 핸드메이드 싱글 벨티드 코트 C ##224MSG ##55 ##4
1042,1677,모장 마인크래프트 (PC) 자바 에디션,15000,디지털/가전,게임기/타이틀,모 ##장 마인크래프트 ( PC ) 자바 에디션
1043,1141,마샬 Emberton 크림 화이트,69480,디지털/가전,음향가전,마샬 E ##m ##b ##er ##ton 크림 화이트
1044,1208,티피링크 Archer AX17 Wi-Fi 6 AX1500 듀얼밴드 공유기,43900,디지털/가전,네트워크장비,티피링크 Archer AX ##17 Wi - Fi 6 AX ##1500 듀얼 ##밴드 공 ##유기
1045,1100,아이폰 15 프로 맥스 256GB [ 자급제 ],1767000,디지털/가전,휴대폰,아이폰 15 프로 맥스 256GB [ 자급제 ]
1046,78,파자마 여성 실크 잠옷 여자 홈웨어 세트 데퍼딜,49900,패션의류,여성언더웨어/잠옷,파자마 여성 실크 잠옷 여자 홈웨어 세트 데 ##퍼 ##딜
1047,41,올리브데올리브 폭스퍼후드 벨티드 점퍼 YP3WM809,147040,패션의류,여성의류,올리브데올리브 폭스퍼후드 벨티드 점퍼 YP ##3W ##M8 ##0 ##9
1048,116,여성 후드 누빔 경량 숏 패딩 자켓 데일리 웰론 패딩 점퍼 겨울 아우터 루즈핏,17000,패션의류,여성의류,여성 후드 누빔 경량 숏 패딩 자켓 데일리 웰론 패딩 점퍼 겨울 아우터 루즈핏
1049,1048,알파스캔 AOC Q32V3S 75 무결점,289000,디지털/가전,모니터,알파스캔 AOC Q ##32 ##V ##3 ##S 75 무결점
1050,1775,아이리버 Eiger-X7,78900,디지털/가전,음향가전,아이리버 Eiger - X ##7
1051,962,폴햄 여성 부츠컷 코듀로이 팬츠 바지 PHD4PP2095,29210,패션의류,여성의류,폴햄 여성 부츠컷 코듀로이 팬츠 바지 PHD4PP20 ##95
1052,397,마리끌레르 퍼 네크 퀼팅 구스 다운 MODDDW01MA,101460,패션의류,여성의류,마리 ##끌 ##레르 퍼 네 ##크 퀼팅 구스 다운 MO ##D ##D ##DW ##01 ##MA
1053,791,코튼 생리 샘방지 팬티 위생 방수 편한 순면 여성 요일 초경 선물,3200,패션의류,여성언더웨어/잠옷,코튼 생리 샘방지 팬티 위생 방수 편한 순면 여성 요일 초경 선물
1054,1802,닌텐도 포켓몬스터 바이올렛 SWITCH,53350,디지털/가전,게임기/타이틀,닌텐도 포켓몬스터 바이올렛 SWITCH
1055,633,SOUP 패딩 점퍼 SZBDO81,127810,패션의류,여성의류,SOUP 패딩 점퍼 SZBDO ##8 ##1
1056,232,미즈노 패딩 아노락 남성 점퍼 32XE2521,113117,패션의류,남성의류,미즈노 패딩 아노락 남성 점퍼 32 ##XE ##25 ##21
1057,1167,리코 GR III 카메라,1358000,디지털/가전,카메라/캠코더용품,리 ##코 GR III 카메라
1058,582,라코스테 남성 PQ 후드 푸퍼 패딩 BH584E-53N 166,114760,패션의류,남성의류,라코스테 남성 PQ 후드 푸퍼 패딩 BH584E - 53N 16 ##6
1059,485,나이키 트레이닝복 반바지 짐웨어 반팔 헬스 운동,18900,패션의류,남성의류,나이키 트레이닝복 반 ##바지 짐웨어 반팔 헬스 운동
1060,781,원피스잠옷 여성 수면잠옷 극세사 임산부 짱구 파자마,14900,패션의류,여성언더웨어/잠옷,원피스잠옷 여성 수면잠옷 극세사 임산부 짱구 파자마
1061,1871,모디스 일체형 미니 도킹형 보조배터리 5000mAh (8핀),9300,디지털/가전,휴대폰액세서리,모디스 일체형 미니 도킹형 보조배터리 5000mAh ( 8핀 )
1062,1941,로지텍 K580,35370,디지털/가전,주변기기,로지텍 K5 ##80
1063,410,리스트 벨티드 핸드메이드 맥 코트 TWHCTM80080,110000,패션의류,여성의류,리스트 벨티드 핸드메이드 맥 코트 TWHCTM800 ##80
1064,311,트라이 TRY 남자 팬티 트렁크 사각 박서 속옷 남성 팬티 단품,3000,패션의류,남성언더웨어/잠옷,트라이 TRY 남자 팬티 트렁크 사각 박서 속옷 남성 팬티 단품
1065,1816,삼성전자 삼성 DW30A3030CE,388300,디지털/가전,주방가전,삼성전자 삼성 DW ##30 ##A ##303 ##0 ##C ##E
1066,607,올리브데올리브 FUR 후디 롱 다운 OH3WCM190,101240,패션의류,여성의류,올리브데올리브 FUR 후디 롱 다운 OH3WCM ##190
1067,966,빈폴레이디스 울 캐시미어 핸드메이드 싱글 코트 BF3X30C083,204940,패션의류,여성의류,빈폴레이디스 울 캐시미어 핸드메이드 싱글 코트 BF3X30C ##08 ##3
1068,1404,삼성전자 갤럭시탭 S9 울트라 512GB WIFI,1443760,디지털/가전,태블릿PC,삼성전자 갤럭시탭 S9 울트라 512GB WIFI
1069,1479,리큐엠 QP2000A,39100,디지털/가전,휴대폰액세서리,리큐엠 QP ##2000 ##A
1070,1852,LG전자 27TN600S,324440,디지털/가전,모니터,LG전자 27 ##TN ##600S
1071,834,피치기모 커플잠옷 세트 파자마 수면 겨울잠옷 여성 체크 홈웨어,19900,패션의류,여성언더웨어/잠옷,피치기모 커플잠옷 세트 파자마 수면 겨울잠옷 여성 체크 홈웨어
1072,1128,EFM네트웍스 아이피타임 Extender N3,21900,디지털/가전,네트워크장비,EFM네트웍스 아이피타임 Extender N ##3
