,title,lprice,category1,category2,title_sentencePiece,title_bertWP
166,시즈올 부드러운 40수 여성 면팬티 데일리 7종 세트 순면 모달 인견 여성팬티,11500,패션의류,여성언더웨어/잠옷,▁시 즈 올 ▁부드러운 ▁4 0수 ▁여성 ▁면팬티 ▁데일리 ▁7종 ▁세트 ▁순면 ▁모달 ▁인견 ▁여성팬티,시 ##즈 ##올 부드러운 40 ##수 여성 면팬티 데일리 7종 세트 순면 모달 인견 여성팬티
167,커플잠옷 겨울 실크파자마 홈웨어원피스 선물세트 신혼여행,23000,패션의류,여성언더웨어/잠옷,▁커플잠옷 ▁겨울 ▁실크 파자마 ▁홈웨어 원피스 ▁선물 세트 ▁신혼 여행,커플잠옷 겨울 실크 ##파자마 홈웨어 ##원피스 선물 ##세트 신혼 ##여행
168,HP 오피스젯프로 9010 무한잉크,293900,디지털/가전,주변기기,▁H P ▁오 피스 젯 프 로 ▁9 01 0 ▁무 한 잉 크,H ##P 오피스 ##젯 ##프로 9 ##010 무한잉크
169,지오다노 여 경량 다운 하프 자켓 372912,44100,패션의류,여성의류,▁지오다노 ▁여 ▁경량 ▁다운 ▁하프 ▁자켓 ▁37 291 2,지오다노 여 경량 다운 하프 자켓 37 ##2912
170,후지필름 X-T30 II,990000,디지털/가전,카메라/캠코더용품,▁후 지 필 름 ▁ X - T 30 ▁I I,후지필름 X - T ##30 II
171,디클 A238N Win11,349000,디지털/가전,PC,▁디 클 ▁A 23 8 N ▁W in 11,디 ##클 A ##23 ##8 ##N Win ##11
172,Calvin Klein Jeans 남 베이지 에센셜 다운 푸퍼 자켓 J323229 PEE,152190,패션의류,남성의류,▁Calvin ▁Klein ▁Jeans ▁남 ▁베이 지 ▁에센셜 ▁다운 ▁푸퍼 ▁자켓 ▁J 323 229 ▁P E E,Calvin Klein Jeans 남 베이지 에센셜 다운 푸퍼 자켓 J ##323 ##229 PE ##E
173,T13 블루투스 이어폰 무선 노이즈 캔슬링 국내AS QCY,20800,디지털/가전,음향가전,▁T 13 ▁블루 투 스 ▁이 어 폰 ▁무 선 ▁노 이즈 ▁ <unk> 슬 링 ▁국내 A S ▁ Q CY,T13 블루투스 이어폰 무선 노이즈 캔슬링 국내 ##AS QCY
174,KAN 케이안 애플펜슬 2세대 호환 스타일러스 무선충전용 아이패드 터치 펜슬,37900,디지털/가전,태블릿PC액세서리,▁K AN ▁케이 안 ▁ <unk> 플 펜 슬 ▁2 세 대 ▁ 호 <unk> ▁스타 일러 스 ▁무 선 <unk> 전 용 ▁아 이 패 드 ▁ 터치 ▁ 펜 슬,KAN 케이안 애플펜슬 2세대 호환 스타일러스 무선충전 ##용 아이패드 터치 펜슬
175,SIE 플레이스테이션 플레이스테이션5 디지털,542500,디지털/가전,게임기/타이틀,▁S I E ▁플 레이 스테 이 션 ▁플 레이 스테 이 션 5 ▁디 지 털,SIE 플레이스테이션 플레이스테이션5 디지털
